match_id,map,game_start,agent,kills,deaths,assists,score,shots_total,hs_percent,kd_ratio,total_engagements,win
dd876bb2-6b16-483e-ac30-ce29d358d497,Lotus,2025-01-12T21:03:50.674Z,Gekko,17,14,12,4644,55,20.0,1.2142857142857142,43,1.0
94b95617-c8f5-42a1-aac6-60274bceb07f,Abyss,2025-01-12T20:37:25.489Z,Clove,13,5,6,3488,41,19.51219512195122,2.6,24,1.0
8a47ad7c-da4c-4179-9121-27ad1a9c00b2,Split,2025-01-12T20:03:19.612Z,Raze,16,18,2,4048,50,26.0,0.8888888888888888,36,0.0
ae59030a-dc11-4e7d-a79e-0aee1ab83062,Abyss,2025-01-12T02:40:43.971Z,Clove,15,19,7,4374,41,24.390243902439025,0.7894736842105263,41,0.0
23765938-238e-45d6-9406-53e03f299290,Haven,2025-01-12T00:21:57.345Z,Chamber,25,18,3,7065,59,25.423728813559322,1.3888888888888888,46,0.0
8a82b7cf-6552-4421-abab-e262006e7a17,Pearl,2025-01-11T23:08:35.343Z,Jett,26,10,3,6577,50,40.0,2.6,39,1.0
172b4858-d2e4-4d4e-9390-695d565be034,Split,2025-01-11T05:51:34.795Z,Reyna,10,15,3,3252,43,11.627906976744185,0.6666666666666666,28,0.0
478a9443-2a33-451e-9729-c7aaa6f594ba,Fracture,2025-01-11T05:12:19.71Z,Reyna,26,14,3,7703,62,27.419354838709676,1.8571428571428572,43,1.0
b0279ba3-2832-4239-9bb4-f7be0fe6dd88,Haven,2025-01-04T22:24:02.389Z,Chamber,10,14,1,3105,36,16.666666666666664,0.7142857142857143,25,0.0
6effbf7f-f6fd-4318-9b44-2a4be914e2a2,Sunset,2025-01-04T21:52:42.722Z,Clove,18,12,9,4939,57,17.543859649122805,1.5,39,1.0
9bbc4827-632e-4eef-8e09-6f005915f8f2,Abyss,2025-01-04T20:37:51.866Z,Reyna,21,17,9,6694,79,18.9873417721519,1.2352941176470589,47,1.0
1294f66c-d1e1-4e87-9181-775cfdc64dbd,Bind,2024-12-31T23:16:07.576Z,Clove,17,18,4,4851,54,25.925925925925924,0.9444444444444444,39,0.0
300da9e3-a6bf-4a4a-aaca-cbb12d969e56,Split,2024-12-31T20:38:04.24Z,Gekko,12,8,2,3284,29,31.03448275862069,1.5,22,0.0
d71ca33a-43a5-4954-8f8b-bf57f030c6c0,Sunset,2024-12-31T20:06:55.002Z,Omen,20,13,6,5626,81,14.814814814814813,1.5384615384615385,39,0.0
c91ca7f0-c7c6-455a-81f2-534a9772fa05,Ascent,2024-12-31T19:28:47.24Z,Clove,8,20,8,3035,47,6.382978723404255,0.4,36,0.0
ce73dfa7-3b0e-4bf1-941e-55fb0acaec68,Split,2024-12-31T18:54:23.953Z,Sage,22,16,3,6183,76,22.36842105263158,1.375,41,0.0
3b87aec9-b432-472c-a019-23da53e17ee2,Ascent,2024-12-30T04:02:07.434Z,Jett,14,4,1,3187,25,12.0,3.5,19,1.0
6a013fe2-8d26-4ac0-81f1-db9abc25ccfc,Pearl,2024-12-30T03:32:18.642Z,Chamber,11,9,3,2889,31,16.129032258064516,1.2222222222222223,23,1.0
69785d46-3a5e-4dc1-9821-b3eb51af3b9e,Haven,2024-12-30T02:53:35.922Z,Chamber,18,17,4,5157,45,24.444444444444443,1.0588235294117647,39,0.0
905e2bcf-9052-42dc-a264-eae6a42cc97e,Pearl,2024-12-29T21:54:23.784Z,Chamber,20,10,2,5483,52,19.230769230769234,2.0,32,1.0
7b3708c6-3f04-495c-9d55-c31dfc2a0e9b,Bind,2024-12-29T21:27:32.611Z,Chamber,9,6,3,2591,26,23.076923076923077,1.5,18,1.0
ba99dccf-cdb7-474b-8c9f-fa2d7a30005e,Sunset,2024-12-29T20:58:37.955Z,Jett,13,10,6,3734,41,31.70731707317073,1.3,29,1.0
78093c91-0d9b-4bd0-b08f-1581b4e79393,Pearl,2024-12-29T20:18:21.798Z,Chamber,9,14,2,2060,27,18.51851851851852,0.6428571428571429,25,0.0
aa235d1f-3068-456a-bdeb-b4c5b9fcc7f3,Abyss,2024-12-29T19:52:56.94Z,Clove,7,11,4,1963,23,21.73913043478261,0.6363636363636364,22,0.0
69bc79c1-a8e0-4cf2-a643-c8facf61a4f5,Ascent,2024-12-29T19:19:00.789Z,Clove,21,11,4,4891,57,15.789473684210526,1.9090909090909092,36,1.0
